"Request Number",Status,"Crew Size","Duration (Days)","Supply Types","Delivery Location","Delivery Speed","Storage Life (Months)","Base Price","Discounted Price",Currency,"Effective Date",Notes,"Created At","Approved At","Completed At"
SUP-20251217-612940,awaiting_review,60,14,"water, dry_food",onshore,standard,6,3142.13,2042.38,USD,,,"2025-12-17 09:49:42",,
SUP-20251217-D4B805,awaiting_review,60,14,"water, dry_food",onshore,standard,6,3142.13,2042.38,USD,,,"2025-12-17 09:44:13",,
SUP-20251217-CA2202,transaction_completed,60,21,"water, dry_food, canned_food",offshore_rig,standard,6,9879.09,6421.41,USD,,"Supply request for offshore rig operation. Contact: Benard Williams, 346-543-4095, Benardwilliams822@gmail.com. DOB: March 10, 1965. Location: Houston, Texas.","2025-12-17 09:17:16","2025-12-17 09:17:52","2025-12-17 09:23:43"
SUP-20251007-FF7793,completed,60,25,"mixed_supplies, canned_food",offshore_rig,priority,6,43253.31,28114.65,USD,2025-10-17,,"2025-10-07 00:00:00",,
SUP-20250811-D16729,completed,60,10,"mixed_supplies, toiletries",offshore_rig,priority,12,37403.74,24312.43,USD,2025-08-16,,"2025-08-11 00:00:00",,
SUP-20250504-ECE5AE,completed,60,13,"dry_food, water, mixed_supplies",offshore_rig,emergency,8,66115.22,42974.89,USD,2025-05-17,,"2025-05-04 00:00:00",,
SUP-20250428-39501C,completed,60,14,"toiletries, water, mixed_supplies",offshore_rig,priority,9,31522.43,20489.58,USD,2025-05-05,,"2025-04-28 00:00:00",,
SUP-20250313-5BE5D5,completed,60,11,"water, toiletries",offshore_rig,priority,9,25754.43,16740.38,USD,2025-03-27,,"2025-03-13 00:00:00",,
SUP-20250127-35BF75,completed,60,26,"toiletries, dry_food, mixed_supplies, water",offshore_rig,emergency,8,67948.68,44166.64,USD,2025-02-03,,"2025-01-27 00:00:00",,
SUP-20241220-7E634A,completed,60,13,"dry_food, mixed_supplies",offshore_rig,standard,4,37288.28,24237.38,USD,2024-12-29,,"2024-12-20 00:00:00",,
SUP-20241114-16987C,completed,60,16,"toiletries, dry_food, canned_food",offshore_rig,standard,4,29760.71,19344.46,USD,2024-11-26,,"2024-11-14 00:00:00",,
SUP-20241006-4FB538,completed,60,11,"toiletries, canned_food, dry_food, water",offshore_rig,priority,6,28925.85,18801.80,USD,2024-10-14,,"2024-10-06 00:00:00",,
SUP-20240706-68A845,completed,60,24,"mixed_supplies, canned_food",offshore_rig,standard,7,50904.20,33087.73,USD,2024-07-20,,"2024-07-06 00:00:00",,
SUP-20240316-F47581,completed,60,30,"toiletries, dry_food, mixed_supplies",offshore_rig,emergency,12,54710.78,35562.01,USD,2024-03-20,,"2024-03-16 00:00:00",,
SUP-20240223-6EF443,completed,60,15,"water, canned_food, dry_food",offshore_rig,emergency,11,31318.52,20357.04,USD,2024-03-06,,"2024-02-23 00:00:00",,
SUP-20231215-0F8A5B,completed,60,30,"canned_food, dry_food",offshore_rig,emergency,3,45195.31,29376.95,USD,2023-12-22,,"2023-12-15 00:00:00",,
SUP-20230910-45DF1F,completed,60,19,"canned_food, dry_food",offshore_rig,emergency,5,31310.42,20351.77,USD,2023-09-19,,"2023-09-10 00:00:00",,
SUP-20230809-6D0333,completed,60,27,"canned_food, toiletries, dry_food, water",offshore_rig,priority,9,34624.38,22505.85,USD,2023-08-16,,"2023-08-09 00:00:00",,
SUP-20230619-E468F8,completed,60,25,"water, toiletries, canned_food, dry_food",offshore_rig,emergency,4,65165.85,42357.80,USD,2023-06-26,,"2023-06-19 00:00:00",,
SUP-20230307-685946,completed,60,29,"mixed_supplies, dry_food, water",offshore_rig,emergency,12,36538.74,23750.18,USD,2023-03-11,,"2023-03-07 00:00:00",,
SUP-20230207-F08704,completed,60,30,"canned_food, dry_food, water",offshore_rig,emergency,9,27257.94,17717.66,USD,2023-02-11,,"2023-02-07 00:00:00",,
SUP-20221227-02DE03,completed,60,27,"toiletries, canned_food",offshore_rig,standard,8,51833.15,33691.55,USD,2023-01-09,,"2022-12-27 00:00:00",,
SUP-20221105-5EF487,completed,60,26,"dry_food, toiletries, mixed_supplies, water",offshore_rig,standard,7,64231.35,41750.38,USD,2022-11-17,,"2022-11-05 00:00:00",,
SUP-20221005-4880EE,completed,60,8,"dry_food, water",offshore_rig,standard,7,63662.35,41380.53,USD,2022-10-18,,"2022-10-05 00:00:00",,
SUP-20220916-DE7512,completed,60,10,"water, mixed_supplies",offshore_rig,emergency,3,48968.71,31829.66,USD,2022-09-20,,"2022-09-16 00:00:00",,
