"Request Number",Status,"Crew Size","Duration (Days)","Supply Types","Delivery Location","Delivery Speed","Storage Life (Months)","Base Price","Discounted Price",Currency,"Effective Date",Notes,"Created At","Approved At","Completed At"
SUP-20250811-DC7DF7,completed,5,29,"canned_food, water",onshore,priority,4,9889.65,6428.27,USD,2025-08-15,,"2025-08-11 00:00:00",,
SUP-20250716-711A6E,completed,5,19,"water, toiletries, canned_food, mixed_supplies",onshore,standard,10,7291.74,4739.63,USD,2025-07-28,,"2025-07-16 00:00:00",,
SUP-20250318-54BAB3,completed,5,29,"mixed_supplies, dry_food, water, toiletries",onshore,emergency,12,4774.66,3103.53,USD,2025-03-28,,"2025-03-18 00:00:00",,
SUP-20250223-194CE2,completed,5,16,"mixed_supplies, dry_food",onshore,priority,5,6077.14,3950.14,USD,2025-03-03,,"2025-02-23 00:00:00",,
SUP-20241023-8D0C58,completed,5,13,"dry_food, water, mixed_supplies",onshore,priority,7,9690.05,6298.53,USD,2024-10-28,,"2024-10-23 00:00:00",,
SUP-20240919-E10208,completed,5,11,"water, mixed_supplies, canned_food, dry_food",onshore,priority,11,5355.83,3481.29,USD,2024-10-02,,"2024-09-19 00:00:00",,
SUP-20240826-3191C6,completed,5,15,"dry_food, canned_food, mixed_supplies",onshore,emergency,12,5791.32,3764.36,USD,2024-09-05,,"2024-08-26 00:00:00",,
SUP-20240610-E082F3,completed,5,30,"dry_food, water, toiletries",onshore,standard,7,7208.92,4685.80,USD,2024-06-21,,"2024-06-10 00:00:00",,
SUP-20240426-51677E,completed,5,10,"dry_food, water, canned_food",onshore,emergency,12,6522.89,4239.88,USD,2024-05-01,,"2024-04-26 00:00:00",,
SUP-20240318-13B33E,completed,5,16,"toiletries, dry_food, canned_food",onshore,priority,9,5752.78,3739.31,USD,2024-03-31,,"2024-03-18 00:00:00",,
SUP-20231208-9D6F7C,completed,5,27,"dry_food, mixed_supplies",onshore,emergency,7,10422.95,6774.92,USD,2023-12-20,,"2023-12-08 00:00:00",,
SUP-20231128-1B86AA,completed,5,11,"canned_food, dry_food, water, toiletries",onshore,standard,5,6562.89,4265.88,USD,2023-12-03,,"2023-11-28 00:00:00",,
SUP-20230609-6AB70F,completed,5,8,"canned_food, toiletries, mixed_supplies, dry_food",onshore,standard,12,7337.75,4769.54,USD,2023-06-13,,"2023-06-09 00:00:00",,
SUP-20230319-8EF920,completed,5,17,"dry_food, canned_food",onshore,standard,3,4795.72,3117.22,USD,2023-03-22,,"2023-03-19 00:00:00",,
SUP-20221208-4C89F1,completed,5,27,"mixed_supplies, toiletries, dry_food, water",onshore,standard,8,5366.92,3488.50,USD,2022-12-16,,"2022-12-08 00:00:00",,
SUP-20221116-AA45FC,completed,5,14,"dry_food, mixed_supplies, toiletries, water",onshore,standard,7,8797.69,5718.50,USD,2022-11-19,,"2022-11-16 00:00:00",,
SUP-20221005-BFCFA6,completed,5,17,"dry_food, canned_food, toiletries",onshore,emergency,3,7883.32,5124.16,USD,2022-10-12,,"2022-10-05 00:00:00",,
SUP-20220913-F474A0,awaiting_review,5,27,"water, canned_food",onshore,standard,7,6400.54,4160.35,USD,2022-09-23,,"2022-09-13 00:00:00",,
