"Request Number",Status,"Crew Size","Duration (Days)","Supply Types","Delivery Location","Delivery Speed","Storage Life (Months)","Base Price","Discounted Price",Currency,"Effective Date",Notes,"Created At","Approved At","Completed At"
SUP-20251217-A9DD55,transaction_completed,20,14,"water, dry_food, canned_food, mixed_supplies, toiletries",offshore_rig,standard,6,20000.00,12700.00,USD,,,"2025-10-15 09:48:00","2025-12-17 11:14:54","2025-12-17 11:16:36"
SUP-20251007-FE3786,completed,20,13,"dry_food, water, canned_food, toiletries",offshore_rig,emergency,11,28898.87,18350.78,USD,2025-10-11,,"2025-10-07 00:00:00",,
SUP-20250903-FC4A9D,completed,20,17,"dry_food, mixed_supplies",offshore_rig,standard,5,19448.20,12349.61,USD,2025-09-16,,"2025-09-03 00:00:00",,
SUP-20250411-E41AFF,completed,20,20,"toiletries, mixed_supplies, water",offshore_rig,standard,12,13873.15,8809.45,USD,2025-04-14,,"2025-04-11 00:00:00",,
SUP-20250323-75BD1D,completed,20,29,"dry_food, mixed_supplies, water",offshore_rig,standard,9,24683.98,15674.33,USD,2025-03-27,,"2025-03-23 00:00:00",,
SUP-20250224-3B16FF,completed,20,14,"dry_food, mixed_supplies, water, toiletries",offshore_rig,standard,9,29799.43,18922.64,USD,2025-03-07,,"2025-02-24 00:00:00",,
SUP-20241103-DF42F2,completed,20,15,"canned_food, mixed_supplies, water, dry_food",offshore_rig,emergency,6,22667.17,14393.65,USD,2024-11-11,,"2024-11-03 00:00:00",,
SUP-20240917-67153D,completed,20,24,"mixed_supplies, toiletries",offshore_rig,standard,3,30271.37,19222.32,USD,2024-09-28,,"2024-09-17 00:00:00",,
SUP-20240823-C8D3DE,completed,20,15,"canned_food, dry_food, mixed_supplies, water",offshore_rig,emergency,4,19685.69,12500.41,USD,2024-08-26,,"2024-08-23 00:00:00",,
SUP-20240513-F090D7,completed,20,20,"canned_food, mixed_supplies",offshore_rig,priority,9,31674.60,20113.37,USD,2024-05-25,,"2024-05-13 00:00:00",,
SUP-20231123-EF664D,completed,20,12,"canned_food, toiletries, dry_food, water",offshore_rig,emergency,11,22564.58,14328.51,USD,2023-12-05,,"2023-11-23 00:00:00",,
SUP-20230703-AADAA7,completed,20,12,"water, canned_food",offshore_rig,emergency,12,25712.39,16327.37,USD,2023-07-13,,"2023-07-03 00:00:00",,
SUP-20230410-1C40CF,completed,20,27,"water, canned_food, mixed_supplies",offshore_rig,priority,4,21152.77,13432.01,USD,2023-04-14,,"2023-04-10 00:00:00",,
SUP-20230123-31FDF7,completed,20,25,"dry_food, canned_food, toiletries",offshore_rig,priority,7,27585.81,17516.99,USD,2023-01-26,,"2023-01-23 00:00:00",,
SUP-20221219-B18410,completed,20,20,"water, dry_food",offshore_rig,standard,8,33685.78,21390.47,USD,2023-01-01,,"2022-12-19 00:00:00",,
SUP-20221117-C8220F,completed,20,17,"dry_food, toiletries, water, mixed_supplies",offshore_rig,standard,7,25951.80,16479.39,USD,2022-11-23,,"2022-11-17 00:00:00",,
SUP-20221004-EA82CB,completed,20,30,"toiletries, canned_food, water",offshore_rig,standard,7,27623.17,17540.71,USD,2022-10-11,,"2022-10-04 00:00:00",,
SUP-20220910-B7EE55,completed,20,29,"dry_food, toiletries, mixed_supplies",offshore_rig,emergency,11,23223.53,14746.94,USD,2022-09-14,,"2022-09-10 00:00:00",,
